date,wood,tweet,article-url,article-headline,image-url
2018-04-05,DENY OF THE STORMY,https://twitter.com/NYDailyNews/status/982072369664741376,http://www.nydailynews.com/news/politics/trump-denies-knowing-hush-payment-porn-star-stormy-daniels-article-1.3916949?utm_content=bufferc5171&utm_medium=social&utm_source=twitter.com&utm_campaign=NYDailyNewsTw,President Trump denies knowing of hush payment to Stormy Daniels in first public remark about alleged tryst,https://pbs.twimg.com/media/DaEFbnHXkAYfaeh.jpg:large
2018-04-06,TURNING INTO TRUMP,https://twitter.com/NYDailyNews/status/982432186468130816,http://www.nydailynews.com/new-york/mayor-blasts-daily-news-report-streetcar-plan-blurry-outlook-article-1.3918882,De Blasio blasts Daily News report on his Brooklyn-Queens streetcar proposal’s unclear future,https://pbs.twimg.com/media/DaJM2QeV4AAWaDB.jpg:large
2018-04-07,,,,,
2018-04-08,TRUMP CALLED JIM A 'CRAZY JEW',https://twitter.com/NYDailyNews/status/983165404737654785,http://www.nydailynews.com/new-york/trump-tower-fire-victim-called-crazy-jew-prez-friend-article-1.3922739?utm_content=buffer5de80&utm_medium=social&utm_source=twitter.com&utm_campaign=NYDailyNewsTw,Close friend of man killed in Trump Tower fire says President once called victim 'crazy Jew',https://pbs.twimg.com/media/DaTiHsfX0AEPuVF.jpg:large
2018-04-09,BLAZ'S SECRET DONOR DEAL,https://twitter.com/NYDailyNews/status/983521937287720960,http://www.nydailynews.com/news/politics/fbi-agents-raid-manhattan-office-trump-lawyer-michael-cohen-article-1.3924200?utm_content=buffer35c63&utm_medium=social&utm_source=twitter.com&utm_campaign=NYDailyNewsTw,FBI agents raid Manhattan office of President Trump’s longtime personal lawyer Michael Cohen ,https://pbs.twimg.com/media/DaYrstlVwAAFT2Q.jpg:large
2018-04-10,ANTI TRUST ME,https://twitter.com/NYDailyNews/status/983877210426822656,http://www.nydailynews.com/news/politics/lawmakers-grill-mark-zuckerberg-trump-connected-data-scandal-article-1.3926382?utm_content=bufferf7099&utm_medium=social&utm_source=twitter.com&utm_campaign=NYDailyNewsTw,"Lawmakers grill Facebook CEO Mark Zuckerberg over Trump-connected data scandal, Russian election meddling",https://pbs.twimg.com/media/DaduvQyUwAAFRY2.jpg:large
2018-04-11,"ONCE AN A-HOLE, ALWAYS AN A-HOLE",https://twitter.com/NYDailyNews/status/984245400264675328,http://www.nydailynews.com/sports/baseball/yankees/a-rod-threatens-cut-child-support-payments-claims-article-1.3928430?utm_content=bufferf6694&utm_medium=social&utm_source=twitter.com&utm_campaign=NYDailyNewsTw,"A-Rod threatens to cut child-support payments, his ex claims amid bitter family feud",https://pbs.twimg.com/media/Dai5_HHVAAEWmJz.jpg:large
2018-04-12,,,,,
2018-04-13,TRUMP BOMBS SYRIA,https://twitter.com/NYDailyNews/status/984974649212788736,http://www.nydailynews.com/news/national/trump-announces-u-s-missile-strikes-syria-article-1.3933025?utm_content=buffer1b181&utm_medium=social&barcprox=true&utm_campaign=NYDailyNewsTw&utm_source=twitter.com,President Trump announces U.S. missile strikes on Syria in retaliation for deadly chemical attack,https://pbs.twimg.com/media/DatVOO_W0AYcl8x.jpg:large
2018-04-14,,,,,
2018-04-15,ABANDONED BY THE FDNY,https://twitter.com/NYDailyNews/status/985697402622562304,http://www.nydailynews.com/new-york/fdny-denied-aid-ptsd-stricken-ground-zero-firefighter-article-1.3935735?utm_content=bufferad130&utm_medium=social&utm_source=twitter.com&utm_campaign=NYDailyNewsTw,"FDNY denied 9/11 disability benefits for firefighter who suffered depression, PTSD until his death at mental hospital",https://pbs.twimg.com/media/Da3mfFNU0AAPD5U.jpg:large
2018-04-16,"OH, FOR FOX SAKE",https://twitter.com/NYDailyNews/status/986039771523944448,http://www.nydailynews.com/news/politics/sean-hannity-revealed-michael-cohen-mystery-client-article-1.3936561,Fox News host Sean Hannity revealed as Michael Cohen's mystery third client,https://pbs.twimg.com/media/Da8dpf4V4AExwVU.jpg:large
2018-04-17,America's biggest lowlife,https://twitter.com/NYDailyNews/status/986417094592954369,http://www.nydailynews.com/opinion/defamed-devil-sandy-hook-parents-alex-jones-lies-article-1.3939094,Defamed by the devil: Sandy Hook parents take on Alex Jones' lies,https://pbs.twimg.com/media/DbB0iWBW4AAALQ2.jpg:large
2018-04-18,KILLER NANNY CONVICTED,https://twitter.com/NYDailyNews/status/986783879884394497,http://www.nydailynews.com/new-york/nyc-crime/killer-nanny-convicted-murdering-kids-upper-west-side-article-1.3941554?utm_content=buffer96fdb&utm_medium=social&utm_source=twitter.com&utm_campaign=NYDailyNewsTw,Killer nanny' Yoselyn Ortega convicted of murdering two kids in her care in Upper West Side apartment,https://pbs.twimg.com/media/DbHCpf1VwAIg1z_.jpg:large
2018-04-19,WAITING ON A Miracle,https://twitter.com/NYDailyNews/status/987154338920452096,http://www.nydailynews.com/new-york/ex-met-ed-kranepool-73-seeks-kidney-donor-health-woes-worsen-article-1.3944422?utm_content=buffer81075&utm_medium=social&utm_source=twitter.com&utm_campaign=NYDailyNewsTw,"Ex-Met Ed Kranepool, 73, seeks kidney donor as health woes worsen",https://pbs.twimg.com/media/DbMS7k6U0AU9Hz7.jpg:large
2018-04-20,,,,,
2018-04-21,WALKING DEAD,https://twitter.com/NYDailyNews/status/987847580938842113,http://www.nydailynews.com/new-york/manhattan/east-village-amnesiac-regains-life-vanishing-1990-article-1.3947481?cid=bitly&utm_content=bufferf53db&utm_medium=social&utm_source=twitter.com&utm_campaign=NYDailyNewsTw,East Village amnesiac regains life after vanishing in 1990 — but wife not thrilled with his return,https://pbs.twimg.com/media/DbWKI35X0AAUEIM.jpg:large
2018-04-22,GOOD GUY WITHOUT A GUN,https://twitter.com/NYDailyNews/status/988230237560410114,http://www.nydailynews.com/news/national/naked-gunman-kills-waffle-house-loose-article-1.3948318?utm_content=buffere2855&utm_medium=social&utm_source=twitter.com&utm_campaign=NYDailyNewsTw,"Hero stops maniac with assault rifle at Waffle House, but gunman who killed four still on loose",https://pbs.twimg.com/media/DbbidhDUwAAquUS.jpg:large
2018-04-23,VAN MASSACRE,https://twitter.com/NYDailyNews/status/988593169154625536,http://www.nydailynews.com/news/world/ten-people-dead-15-wounded-van-plows-crowd-toronto-article-1.3950187?utm_content=buffer833e4&utm_medium=social&utm_source=twitter.com&utm_campaign=NYDailyNewsTw,"Deranged man obsessed with mass murderers kills 10, wounds 15 after driving van through Toronto sidewalk",https://pbs.twimg.com/media/DbgwH69U8AAzHLS.jpg:large
2018-04-24,CITY HALL SHELTER COVERUP,https://twitter.com/NYDailyNews/status/988956167870304257,http://www.nydailynews.com/new-york/city-lying-safety-homeless-shelters-article-1.3952889?utm_content=buffere6910&utm_medium=social&utm_source=twitter.com&utm_campaign=NYDailyNewsTw,City lying about safety at shelters by undercounting ‘critical incidents’; homeless services cops say crime getting worse,https://pbs.twimg.com/media/Dbl6HecV0AAZmrw.jpg:large
2018-04-25,ICE BREAKER,https://twitter.com/NYDailyNews/status/989319214988185601,http://www.nydailynews.com/new-york/state-probes-city-homeless-shelter-crime-reported-article-1.3954953?utm_content=bufferecdf7&utm_medium=social&utm_source=twitter.com&utm_campaign=NYDailyNewsTw,Daily News report spurs state to investigate if city has correctly reported homeless shelter crime,https://pbs.twimg.com/media/DbrEfgHUQAAtO3G.jpg:large
2018-04-26,COSBY JURY CONVICTS ON ALL COUNTS,https://twitter.com/NYDailyNews/status/989614878666223616,http://www.nydailynews.com/news/crime/bill-cosby-found-guilty-drugging-sexually-assaulting-constand-article-1.3956401?utm_content=buffer3477a&utm_medium=social&utm_source=twitter.com&utm_campaign=NYDailyNewsTw,"Bill Cosby found guilty of drugging, sexually assaulting Andrea Constand",https://pbs.twimg.com/media/DbvRVPCVMAAau9m.jpg:large
2018-04-27,SEXUAL HARRASMENT COMPLAINTS,https://twitter.com/NYDailyNews/status/990043725488418817,http://www.nydailynews.com/new-york/city-sex-harassment-stats-leave-100-school-complaints-article-1.3959262?utm_content=buffer7df69&utm_medium=social&utm_source=twitter.com&utm_campaign=NYDailyNewsTw,City sex harassment stats spark cover-up questions after over 100 school complaints disappear,https://pbs.twimg.com/media/Db1XcFNVQAAa7yd.jpg:large
